udp    ESTAB      2880   0      192.168.0.109:68                 192.168.0.1:67                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:49872              183.240.236.142:443                
tcp    ESTAB      0      0      192.168.0.109:48944              120.233.22.121:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46722              36.155.160.134:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:39752              183.224.47.137:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:44668              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44700              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44652              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:43026              36.155.160.134:443                
tcp    CLOSE-WAIT 0      0      192.168.0.109:45912              183.224.47.118:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46414              111.29.15.6:80                 
tcp    CLOSE-WAIT 0      0      192.168.0.109:45928              183.224.47.118:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:41578              36.131.201.161:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:44480              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44654              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44262              117.162.49.40:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44502              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44504              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44692              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:39756              183.224.47.137:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46758              36.155.160.134:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:39738              183.224.47.137:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:49844              183.240.236.142:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:44518              111.51.129.186:80                 
tcp    CLOSE-WAIT 25     0      192.168.0.109:39240              111.51.129.222:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:41586              36.131.201.161:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46418              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:46694              36.155.160.134:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:44678              117.187.187.89:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:46736              36.155.160.134:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:49856              183.240.236.142:443                
tcp    CLOSE-WAIT 0      0      192.168.0.109:45934              183.224.47.118:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:39722              183.224.47.137:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:49826              183.240.236.142:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46742              36.155.160.134:443                
tcp    CLOSE-WAIT 25     0      192.168.0.109:42624              111.51.129.176:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:49854              183.240.236.142:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:49828              183.240.236.142:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46708              36.155.160.134:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:46888              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:44534              111.51.129.186:80                 
tcp    CLOSE-WAIT 1      0      192.168.0.109:41582              36.131.201.161:443                
tcp    CLOSE-WAIT 1      0      192.168.0.109:44494              111.51.129.186:80                 
tcp    CLOSE-WAIT 25     0        [::ffff:192.168.0.109]:45108              [::ffff:223.109.146.228]:443                
tcp    LAST-ACK   0      25       [::ffff:192.168.0.108]:48922              [::ffff:223.109.146.243]:443                
tcp    ESTAB      0      0        [::ffff:192.168.0.109]:40826              [::ffff:47.83.5.190]:4430               
tcp    ESTAB      0      0        [::ffff:192.168.0.109]:39008                 [::ffff:111.13.40.28]:5222               
tcp    CLOSE-WAIT 24     0        [::ffff:192.168.0.109]:45808                [::ffff:111.13.141.38]:443                
